url,latitude,longitude,image_url,Use of property,Year built,Available area,Building area (at ground level),Number of units,Building style,Lot area,Parking,"
Residential units                        ",Main unit,Potential gross revenue,Zoning,Type of business,Additional features,Fireplace/Stove,"
Residential unit                        "
https://www.centris.ca/en/commercial-units~for-rent~chambly/9827427?view=Summary&uc=2,45.44264612,-73.27164966,https://mspublic.centris.ca/media.ashx?id=ADDD250D2D0B836DDFE6CA2D1D&t=pi&w=1024&h=1024&sm=c,Offices only,1987,"3,529 sqft",,Office (1),,,,,,,,Office,,,
https://www.centris.ca/en/commercial-units~for-sale~ville-marie-montreal/11788537?view=Summary,45.529286,-73.560475,https://mspublic.centris.ca/media.ashx?id=ADDD250D46520CBDD925D6FD1C&t=pi&w=1024&h=1024&sm=c,Commercial and residential,1940,"2,210 sqft",,Commercial (1),,,,,,,,"Convenience store, Daycare centre, Office, Clinic",,,
https://www.centris.ca/en/commercial-units~for-rent~le-gardeur-repentigny/22182326?view=Summary&uc=2,45.758579,-73.461598,https://mspublic.centris.ca/media.ashx?id=ADDD250D2DC0630D1E40F9AD1E&t=pi&w=1024&h=1024&sm=c,Commercial and office space,1976,"1,530 sqft",,Office (1),,,,,,,,,,,
https://www.centris.ca/en/commercial-units~for-sale~ville-marie-montreal/9672291?view=Summary,45.50761437,-73.56213568,https://mspublic.centris.ca/media.ashx?id=ADDD250D2DF969ADDF2FAA2D1A&t=pi&w=1024&h=1024&sm=c,Commercial only,1987,860 sqft,,Commercial (1),,,,,,,,Clinic,,,
https://www.centris.ca/en/businesses~for-sale~ville-marie-montreal/11727196?view=Summary,45.51471013,-73.56231539,https://mspublic.centris.ca/media.ashx?id=ADDD250D45D3EB1DD9461E7D1B&t=pi&w=1024&h=1024&sm=c,,,,,,,,,,,,,Restaurant,,,
https://www.centris.ca/en/commercial-units~for-rent~le-plateau-mont-royal-montreal/24151801?view=Summary&uc=2,45.522982,-73.581171,https://mspublic.centris.ca/media.ashx?id=ADDD250D4708B92D10DBA6FD11&t=pi&w=1024&h=1024&sm=c,Commercial and office space,,"3,275 sqft",,Commercial (1),,,,,,,,cafe,,,
https://www.centris.ca/en/commercial-units~for-sale~ville-marie-montreal/12182943?view=Summary,45.511254,-73.566013,https://mspublic.centris.ca/media.ashx?id=ADDD250D2DC3DCDDD9F5EF6D1F&t=pi&w=1024&h=1024&sm=c,Commercial only,1885,"3,030 sqft",,Commercial (1),,"1,751 sqft",,,,,,Boutique,,,
https://www.centris.ca/en/businesses~for-sale~ville-marie-montreal/20468191?view=Summary,45.518751,-73.556269,https://mspublic.centris.ca/media.ashx?id=ADDD250D4569B16D12BE136D1B&t=pi&w=1024&h=1024&sm=c,,,,,,,,,,,,,Coffee/Donuts,,,
https://www.centris.ca/en/commercial-units~for-sale~ville-marie-montreal/12844187?view=Summary,45.50320542,-73.55680586,https://mspublic.centris.ca/media.ashx?id=ADDD250D4560217DD7267F9D1F&t=pi&w=1024&h=1024&sm=c,Commercial and residential,1904,"1,645 sqft",,Commercial (1),,,,,,,,Office,,,
https://www.centris.ca/en/commercial-units~for-rent~saint-jerome/24992889?view=Summary&uc=2,45.75596627,-74.01834466,https://mspublic.centris.ca/media.ashx?id=ADDD250D4A92460D103E70FD14&t=pi&w=1024&h=1024&sm=c,Offices only,"2017, New",115 sqft,,Office (1),,,,,,,,,,,
