url,latitude,longitude,image_url,Use of property,Year built,Available area,Building area (at ground level),Number of units,Building style,Lot area,Parking,"
Residential units                        ",Main unit,Potential gross revenue,Zoning,Type of business,Additional features,Fireplace/Stove,"
Residential unit                        "
https://www.centris.ca/en/commercial-buildings~for-sale~ville-marie-montreal/21764166?view=Summary,45.530545,-73.548347,https://mspublic.centris.ca/media.ashx?id=ADDD250D2D3C61FD1C71BCAD1A&t=pi&w=1024&h=1024&sm=c,Commercial and residential,1973,"4,844 sqft","4,845 sqft",Commercial (1),,"3,880 sqft",,,,,,Other,,,
https://www.centris.ca/en/commercial-units~for-rent~blainville/10196049?view=Summary&uc=2,45.859535,-73.409847,https://mspublic.centris.ca/media.ashx?id=ADDD250D4D9EB05DDF9FCE1D11&t=pi&w=1024&h=1024&sm=c,Commercial and office space,"2013, New","1,500 sqft","1,500 sqft",Office (1),,"43,475 sqft",,,,,,,,,
https://www.centris.ca/en/commercial-units~for-rent~mont-joli/8770742?view=Summary&uc=2,48.5867,-68.189272,https://mspublic.centris.ca/media.ashx?id=ADDD250D17150D5DDBE3C9AD1E&t=pi&w=1024&h=1024&sm=c,Commercial and office space,1976,,,,,,,,,,,,,,
https://www.centris.ca/en/4plex~for-sale~ville-marie-montreal/16988014?view=Summary,45.53843137,-73.55993304,https://mspublic.centris.ca/media.ashx?id=ADDD250D477F531D1D220A5D1A&t=pi&w=1024&h=1024&sm=c,Residential only,1945,,,Residential (4),Semi-detached,"3,400 sqft",,"2 x 3 ½, 1 x 5 ½, 1 x 6 ½","6 rooms, 3 bedrooms, 1 bathroom/powder room","$49,800",,,Basement 6 feet or +,,
https://www.centris.ca/en/commercial-units~for-rent~vaudreuil-dorion/23890900?view=Summary&uc=2,45.37716715,-74.05081968,https://mspublic.centris.ca/media.ashx?id=ADDD250D47A006FD1A7B93CD14&t=pi&w=1024&h=1024&sm=c,Commercial and office space,"Under construction, New","2,205 sqft",,Commercial (1),,,,,,,,Office,,,
https://www.centris.ca/en/commercial-units~for-rent~le-sud-ouest-montreal/23037345?view=Summary&uc=2,45.466054,-73.600466,https://mspublic.centris.ca/media.ashx?id=ADDD250D49B4183D1E6BE81D11&t=pi&w=1024&h=1024&sm=c,Commercial and office space,,"2,400 sqft",,Commercial (1),,,,,,,,Office,,,
https://www.centris.ca/en/commercial-units~for-rent~ville-marie-montreal/21412416?view=Summary&uc=2,45.497189,-73.575709,https://mspublic.centris.ca/media.ashx?id=ADDD250D4FCF3DED1CA98CDD12&t=pi&w=1024&h=1024&sm=c,Commercial and office space,1915,"3,500 sqft",,Office (1),,,,,,,,Office,,,
https://www.centris.ca/en/commercial-buildings~for-sale~ville-marie-montreal/19959274?view=Summary,45.52215885,-73.55256845,https://mspublic.centris.ca/media.ashx?id=ADDD250D2D51FB3D12DB358D1A&t=pi&w=1024&h=1024&sm=c,Commercial only,1910,"From 625 sqft to 10,000 sqft",,Commercial (5),,"5,035 sqft",,,,,,,,,
https://www.centris.ca/en/lots~for-sale~ville-marie-montreal/27056581?view=Summary,45.4945837,-73.57385383,https://mspublic.centris.ca/media.ashx?id=ADDD250D2D76D7FD1F73F7ED1B&t=pi&w=1024&h=1024&sm=c,,,,,,,,,,,,Residential,,,,
https://www.centris.ca/en/businesses~for-sale~ville-marie-montreal/25112690?view=Summary,45.507792,-73.565638,https://mspublic.centris.ca/media.ashx?id=ADDD250D2D3109ED1062D04D1D&t=pi&w=1024&h=1024&sm=c,,,,,,,,,,,,,Beauty salon,,,
https://www.centris.ca/en/commercial-units~for-sale~ville-marie-montreal/11117112?view=Summary,45.518814,-73.559697,https://mspublic.centris.ca/media.ashx?id=ADDD250D48F11E5DD8F842BD1A&t=pi&w=1024&h=1024&sm=c,Commercial only,1875,"1,279 sqft",,Commercial (1),,,,,,,,"Bar, Restaurant",,,
https://www.centris.ca/en/commercial-buildings~for-rent~cowansville/10836809?view=Summary&uc=2,45.20987765,-72.76726871,https://mspublic.centris.ca/media.ashx?id=ADDD250D45C94BDDD8EE9CFD10&t=pi&w=1024&h=1024&sm=c,Commercial and office space,1988,"4,560 sqft","4,650 sqft",Commercial (1),,"39,457 sqft",,,,,,,,,
https://www.centris.ca/en/commercial-units~for-rent~hull-gatineau/22482364?view=Summary&uc=2,45.45351248,-75.75231709,https://mspublic.centris.ca/media.ashx?id=ADDD250D2D88120D1E0D397D14&t=pi&w=1024&h=1024&sm=c,Commercial only,,"1,877 sqft",,Commercial (1),,,,,,,,,,,
https://www.centris.ca/en/duplexes~for-sale~ville-marie-montreal/15199893?view=Summary,45.521848,-73.5551,https://mspublic.centris.ca/media.ashx?id=ADDD250D49E2E06DD5055FED1D&t=pi&w=1024&h=1024&sm=c,Residential and commercial,Unknown age,"1,000 sqft",,"Residential (1), Commercial (1)",Semi-detached,"1,668 sqft",,,"4 rooms, 1 bedroom, 2 bathrooms/powder rooms","$33,000",,,,,1 x 4 ½
https://www.centris.ca/en/commercial-units~for-rent~auteuil-laval/26402672?view=Summary&uc=2,45.62580489,-73.75073871,https://mspublic.centris.ca/media.ashx?id=ADDD250D49BC114D1F41024DD11&t=pi&w=1024&h=1024&sm=c,Commercial and office space,1980,"2,616 sqft",,Commercial (1),,,,,,,,Daycare centre,,,
https://www.centris.ca/en/industrial-buildings~for-rent~saint-laurent-montreal/12928748?view=Summary&uc=2,45.51703795,-73.72084829,https://mspublic.centris.ca/media.ashx?id=ADDD250D2D2A0DDDD7ECA57D10&t=pi&w=1024&h=1024&sm=c,Industrial and offices,1963,"9,665 sqft","9,665 sqft",Industrial (1),,,,,,,,Storage,,,
https://www.centris.ca/en/industrial-buildings~for-rent~sept-iles/16637643?view=Summary&uc=2,50.21409597,-66.36831222,https://mspublic.centris.ca/media.ashx?id=ADDD250D2DA1914DD633579D1E&t=pi&w=1024&h=1024&sm=c,Commercial and industrial,,"From 7,200 sqft to 20,800 sqft","21,097 sqft",Industrial (2),,"60,761 sqft",,,,,,,,,
https://www.centris.ca/en/lots~for-sale~ville-marie-montreal/20588086?view=Summary,45.49672121,-73.57494946,https://mspublic.centris.ca/media.ashx?id=ADDD250D47A0BF6D1284A2AD1E&t=pi&w=1024&h=1024&sm=c,,,,,,,,,,,,Residential,,,,
https://www.centris.ca/en/triplexes~for-sale~ville-marie-montreal/17087647?view=Summary,45.524637,-73.553792,https://mspublic.centris.ca/media.ashx?id=ADDD250D459F202D1DC97F6D1D&t=pi&w=1024&h=1024&sm=c,Residential only,1900,,,Residential (3),Attached,,,"1 x 4 ½, 2 x 5 ½","4 rooms, 2 bedrooms, 1 bathroom/powder room","$38,100",,,,,
https://www.centris.ca/en/commercial-buildings~for-rent~shawinigan/11783033?view=Summary&uc=2,46.629299,-72.704075,https://mspublic.centris.ca/media.ashx?id=ADDD250D4603D84DD92790FD1B&t=pi&w=1024&h=1024&sm=c,Commercial and industrial,,"4,000 sqft",,Commercial (1),,,,,,,,,,,
https://www.centris.ca/en/businesses~for-sale~ville-marie-montreal/9211320?view=Summary,45.494778,-73.579934,https://mspublic.centris.ca/media.ashx?id=ADDD250D4310B50DDB7B39BD11&t=pi&w=1024&h=1024&sm=c,,,,,,,,,,,,,Convenience store,,,
https://www.centris.ca/en/commercial-units~for-rent~amos/18756802?view=Summary&uc=2,48.571907,-78.115992,https://mspublic.centris.ca/media.ashx?id=ADDD250D4F48428D1152C74D10&t=pi&w=1024&h=1024&sm=c,Commercial and office space,Unknown age,872 sqft,872 sqft,Commercial (1),,,,,,,,,,,
https://www.centris.ca/en/businesses~for-sale~ville-marie-montreal/26591309?view=Summary,45.510961,-73.566124,https://mspublic.centris.ca/media.ashx?id=ADDD250D2DF4BEED1FE7DC3D1C&t=pi&w=1024&h=1024&sm=c,,,,,,,,,,,,,Department store,,,
https://www.centris.ca/en/lots~for-sale~ville-marie-montreal/13740313?view=Summary,45.502883,-73.583946,https://mspublic.centris.ca/media.ashx?id=ADDD250D2D129EEDD318F1FD1A&t=pi&w=1024&h=1024&sm=c,,,,,,,"8,658 sqft",,,,,Residential,,,,
https://www.centris.ca/en/lots~for-sale~ville-marie-montreal/27732753?view=Summary,45.49671275,-73.57490654,https://mspublic.centris.ca/media.ashx?id=ADDD250D47A0FA7D1804911D1F&t=pi&w=1024&h=1024&sm=c,,,,,,,,,,,,Residential,,,,
https://www.centris.ca/en/lots~for-sale~ville-marie-montreal/11092605?view=Summary,45.496496,-73.57438,https://mspublic.centris.ca/media.ashx?id=ADDD250D4413640DD8FC403D1F&t=pi&w=1024&h=1024&sm=c,,,,,,,,,,,,Residential,,,,
https://www.centris.ca/en/industrial-buildings~for-rent~saint-hyacinthe/26610988?view=Summary&uc=2,45.62695913,-72.98979476,https://mspublic.centris.ca/media.ashx?id=ADDD250D484D1E3D1FAD347D1B&t=pi&w=1024&h=1024&sm=c,Industrial only,"To be built, New","20,000 sqft","20,000 sqft",Commercial (1),,,,,,,,,,,
https://www.centris.ca/en/commercial-units~for-rent~mercier/15671170?view=Summary&uc=2,45.334366,-73.730744,https://mspublic.centris.ca/media.ashx?id=ADDD250D2D6635BDD5616B4D1A&t=pi&w=1024&h=1024&sm=c,Commercial only,2017,"1,348 sqft",,Commercial (1),,,,,,,,,,,
https://www.centris.ca/en/multi-family-properties~for-sale~ville-marie-montreal/27490648?view=Summary,45.51497254,-73.56570783,https://mspublic.centris.ca/media.ashx?id=ADDD250D2D112D8D1820FEBD1F&t=pi&w=1024&h=1024&sm=c,Residential and commercial,"1870, Century",,"1,366 sqft",Residential (8),,"3,622 sqft",Driveway (2),"2 x 4 ½, 6 x Bedroom",,"$182,400",,,,,
https://www.centris.ca/en/commercial-units~for-rent~rouyn-noranda/21457171?view=Summary&uc=2,48.240115,-79.020093,https://mspublic.centris.ca/media.ashx?id=ADDD250D165C954D1C0AF12D1C&t=pi&w=1024&h=1024&sm=c,Commercial and office space,1992,"3,250 sqft","3,250 sqft",Office (1),,"6,800 sqft",,,,,,,,,
https://www.centris.ca/en/industrial-units~for-rent~ahuntsic-cartierville-montreal/17020264?view=Summary&uc=2,45.533151,-73.661443,https://mspublic.centris.ca/media.ashx?id=ADDD250D2D57ACAD1D29EABD1C&t=pi&w=1024&h=1024&sm=c,Industrial and offices,1985,"9,000 sqft","20,430 sqft",Office (1),,"23,293 sqft",,,,,,,,,
https://www.centris.ca/en/commercial-units~for-rent~saint-hyacinthe/19079947?view=Summary&uc=2,45.64400229,-72.97535133,https://mspublic.centris.ca/media.ashx?id=ADDD250D4322F59D14242D9D1F&t=pi&w=1024&h=1024&sm=c,Commercial only,,"1,200 sqft",,Commercial (1),,,,,,,,,,,
https://www.centris.ca/en/duplexes~for-sale~ville-marie-montreal/13454014?view=Summary,45.517935,-73.56472,https://mspublic.centris.ca/media.ashx?id=ADDD250D2D96B47DD73C895D1E&t=pi&w=1024&h=1024&sm=c,Residential only,1885,,"1,023 sqft",Residential (2),Attached,"2,164 sqft","Driveway (2), Garage (1)","1 x 10 ½, 1 x 7 ½","10 rooms, 3 bedrooms, 5 bathrooms/powder rooms","$174,000",,,Basement 6 feet or +,,
https://www.centris.ca/en/commercial-units~for-rent~saint-leonard-montreal/16085288?view=Summary&uc=2,45.570656,-73.587837,https://mspublic.centris.ca/media.ashx?id=ADDD250D2D52E8BDD6E014BD1A&t=pi&w=1024&h=1024&sm=c,Commercial and office space,,"6,600 sqft",,Commercial (1),,,,,,,,,,,
https://www.centris.ca/en/commercial-buildings~for-rent~duvernay-laval/26752100?view=Summary&uc=2,45.593172,-73.666981,https://mspublic.centris.ca/media.ashx?id=ADDD250D46990C2D1FB2CACD12&t=pi&w=1024&h=1024&sm=c,Commercial and office space,1977,"From 1,324 sqft to 7,776 sqft","32,260 sqft",Office (2),,"91,215 sqft",,,,,,Office,,,
https://www.centris.ca/en/commercial-units~for-rent~sainte-foy-sillery-cap-rouge-quebec/14390428?view=Summary&uc=2,46.801742,-71.244807,https://mspublic.centris.ca/media.ashx?id=ADDD250D46EA0B9DD39FCF7D11&t=pi&w=1024&h=1024&sm=c,Commercial and office space,1985,"4,000 sqft",,Commercial (1),,,,,,,,,,,
https://www.centris.ca/en/commercial-buildings~for-sale~ville-marie-montreal/11017205?view=Summary,45.49822608,-73.57806288,https://mspublic.centris.ca/media.ashx?id=ADDD250D4628D7DDD8B196ED1B&t=pi&w=1024&h=1024&sm=c,Commercial only,1895,"3,600 sqft","2,070 sqft",Commercial (1),,"2,421 sqft",,,,,,Restaurant,,,
https://www.centris.ca/en/commercial-units~for-rent~ville-marie-montreal/14559618?view=Summary&uc=2,45.495886,-73.575402,https://mspublic.centris.ca/media.ashx?id=ADDD250D4872324DD354FB4D14&t=pi&w=1024&h=1024&sm=c,Commercial only,,"1,950 sqft","1,950 sqft",Commercial (1),,,,,,,,,,,
https://www.centris.ca/en/commercial-buildings~for-rent~sainte-therese/27413593?view=Summary&uc=2,45.64148097,-73.81804451,https://mspublic.centris.ca/media.ashx?id=ADDD250D459ADE4D184C7EFD1E&t=pi&w=1024&h=1024&sm=c,Offices only,Unknown age,"From 1,000 sqft to 2,160 sqft",,Office (2),,,,,,,,,,,
https://www.centris.ca/en/multi-family-properties~for-sale~ville-marie-montreal/14727933?view=Summary,45.520536,-73.556331,https://mspublic.centris.ca/media.ashx?id=ADDD250D2D98FBADD5D9863D12&t=pi&w=1024&h=1024&sm=c,Residential and commercial,1948,,,"Residential (4), Commercial (1)",,,,4 x 4 ½,,"$73,524",,,,,
https://www.centris.ca/en/commercial-units~for-rent~saint-jean-sur-richelieu/24481918?view=Summary&uc=2,45.3383865,-73.26780222,https://mspublic.centris.ca/media.ashx?id=ADDD250D438123ED10EFD05D14&t=pi&w=1024&h=1024&sm=c,Commercial and office space,,"1,615 sqft",,Commercial (1),,,,,,,,,,,
https://www.centris.ca/en/commercial-units~for-rent~riviere-des-prairies-pointe-aux-trembles-montreal/18201384?view=Summary&uc=2,45.624287,-73.600292,https://mspublic.centris.ca/media.ashx?id=ADDD250D461ACD1D11E994BD12&t=pi&w=1024&h=1024&sm=c,Commercial and office space,1989,"1,800 sqft","42,000 sqft",Commercial (1),,"40,156 sqft",,,,,,Office,,,
https://www.centris.ca/en/commercial-units~for-rent~desjardins-levis/9506956?view=Summary&uc=2,46.79258848,-71.18129204,https://mspublic.centris.ca/media.ashx?id=ADDD250D46BC8A7DDF11DB7D1D&t=pi&w=1024&h=1024&sm=c,Commercial and office space,1955,"From 1,750 sqft to 3,500 sqft",,Commercial (2),,"8,213 sqft",,,,,,,,,
https://www.centris.ca/en/commercial-buildings~for-rent~riviere-des-prairies-pointe-aux-trembles-montreal/13448338?view=Summary&uc=2,45.624287,-73.600292,https://mspublic.centris.ca/media.ashx?id=ADDD250D461AE39DD732CF4D1E&t=pi&w=1024&h=1024&sm=c,Commercial and office space,1989,"19,000 sqft","42,000 sqft",Office (1),,"40,156 sqft",,,,,,Office,,,
https://www.centris.ca/en/triplexes~for-sale~ville-marie-montreal/17732424?view=Summary,45.537846,-73.557234,https://mspublic.centris.ca/media.ashx?id=ADDD250D211C5FCD1D5F2CBD12&t=pi&w=1024&h=1024&sm=c,Residential only,"1915, Century",,,Residential (3),Attached,"2,835 sqft",,3 x 5 ½,"5 rooms, 3 bedrooms, 1 bathroom/powder room","$47,700",,,,,
https://www.centris.ca/en/businesses~for-sale~ville-marie-montreal/15304718?view=Summary,45.50202425,-73.56009247,https://mspublic.centris.ca/media.ashx?id=ADDD250D46609A8DD5FBBD5D1E&t=pi&w=1024&h=1024&sm=c,,,,,,,,,,,,,Jewellery store,,,
https://www.centris.ca/en/commercial-units~for-rent~saint-hyacinthe/13412070?view=Summary&uc=2,45.62170391,-72.96223182,https://mspublic.centris.ca/media.ashx?id=ADDD250D43DA395DD778A5AD1F&t=pi&w=1024&h=1024&sm=c,Commercial and office space,1950,"1,400 sqft",,Commercial (1),,"31,708 sqft",,,,,,,,,
https://www.centris.ca/en/commercial-buildings~for-sale~ville-marie-montreal/21251656?view=Summary,45.49667402,-73.5838313,https://mspublic.centris.ca/media.ashx?id=ADDD250D2D3DDEED1CCCACBD1B&t=pi&w=1024&h=1024&sm=c,Commercial and residential,1892,"From 270 sqft to 4,415 sqft",,Commercial (2),,"2,483 sqft",,,,,,,,,
https://www.centris.ca/en/commercial-buildings~for-rent~terrebonne-terrebonne/19593815?view=Summary&uc=2,45.71647,-73.655256,https://mspublic.centris.ca/media.ashx?id=ADDD250D2DE405CD14868E0D10&t=pi&w=1024&h=1024&sm=c,Commercial only,Unknown age,"1,786 sqft",,Commercial (1),,,,,,,,Restaurant,,,
https://www.centris.ca/en/5plex~for-sale~ville-marie-montreal/25111280?view=Summary,45.512008,-73.562016,https://mspublic.centris.ca/media.ashx?id=ADDD250D21D61DBD106486DD1D&t=pi&w=1024&h=1024&sm=c,Residential and commercial,1946,"1,260 sqft",,"Residential (4), Commercial (1)",Attached,"1,260 sqft",,4 x 3 ½,"3 rooms, 1 bedroom, 1 bathroom/powder room","$91,200",,,,,
https://www.centris.ca/en/commercial-units~for-rent~la-cite-limoilou-quebec/15102741?view=Summary&uc=2,46.839189,-71.246168,https://mspublic.centris.ca/media.ashx?id=ADDD250D4614C88DD5A021ED14&t=pi&w=1024&h=1024&sm=c,Commercial and office space,"To be built, New","1,738 sqft",,Commercial (1),,,,,,,,Office,,,
https://www.centris.ca/en/commercial-units~for-rent~jonquiere-saguenay/23229239?view=Summary&uc=2,48.408712,-71.224352,https://mspublic.centris.ca/media.ashx?id=ADDD250D45F0CA7D1A40220D11&t=pi&w=1024&h=1024&sm=c,Commercial and industrial,,"2,400 sqft",,Commercial (1),,,,,,,,,,,
https://www.centris.ca/en/commercial-units~for-rent~sainte-madeleine/16477723?view=Summary&uc=2,45.59513612,-73.09452925,https://mspublic.centris.ca/media.ashx?id=ADDD250D4570E90DD69A519D1F&t=pi&w=1024&h=1024&sm=c,Commercial and office space,,"3,300 sqft",,Commercial (1),,,,,,,,,,,
https://www.centris.ca/en/lots~for-sale~ville-marie-montreal/26991568?view=Summary,45.496496,-73.57438,https://mspublic.centris.ca/media.ashx?id=ADDD250D44110247D1F9393DD12&t=pi&w=1024&h=1024&sm=c,,,,,,,,,,,,Residential,,,,
https://www.centris.ca/en/commercial-units~for-rent~blainville/18275174?view=Summary&uc=2,45.65623926,-73.80067714,https://mspublic.centris.ca/media.ashx?id=ADDD250D461D1D0D11A39AAD1E&t=pi&w=1024&h=1024&sm=c,Commercial and office space,,938 sqft,,Commercial (1),,,,,,,,électronic retail and repair center,,,
https://www.centris.ca/en/commercial-buildings~for-sale~ville-marie-montreal/15731717?view=Summary,45.51155666,-73.5672464,https://mspublic.centris.ca/media.ashx?id=ADDD250D4E46B81DD6DD7DED10&t=pi&w=1024&h=1024&sm=c,Commercial and residential,Unknown age,"From 7,484 sqft to 14,968 sqft",,"Residential (1), Commercial (2)",,"7,484 sqft",,,,,,,,,
https://www.centris.ca/en/lots~for-sale~ville-marie-montreal/28364642?view=Summary,45.49594361,-73.57062156,https://mspublic.centris.ca/media.ashx?id=ADDD250D4791D6BD19D76A4D14&t=pi&w=1024&h=1024&sm=c,,,,,,,,,,,,Residential,,,,
https://www.centris.ca/en/commercial-units~for-rent~fabreville-laval/10062859?view=Summary&uc=2,45.57931668,-73.79574095,https://mspublic.centris.ca/media.ashx?id=ADDD250D2D5D74FDDFFB7D9D11&t=pi&w=1024&h=1024&sm=c,Commercial only,,550 sqft,550 sqft,Commercial (1),,,,,,,,,,,
https://www.centris.ca/en/commercial-units~for-rent~ville-marie-montreal/18888442?view=Summary&uc=2,45.494213,-73.578836,https://mspublic.centris.ca/media.ashx?id=ADDD250D4AE77D4D14D2A68D1B&t=pi&w=1024&h=1024&sm=c,Commercial only,,608 sqft,,Commercial (1),,,,,,,,Flexible ,,,
https://www.centris.ca/en/commercial-units~for-rent~chomedey-laval/24924554?view=Summary&uc=2,45.5641291,-73.77366385,https://mspublic.centris.ca/media.ashx?id=ADDD250D483DF51D107E1B8D14&t=pi&w=1024&h=1024&sm=c,Commercial only,,"From 2,781 sqft to 52,278 sqft",,Commercial (5),,,,,,,,,,,
https://www.centris.ca/en/commercial-units~for-rent~shawinigan/26490446?view=Summary&uc=2,46.61417261,-72.73734588,https://mspublic.centris.ca/media.ashx?id=ADDD250D2D4A655D1FC2AC5D10&t=pi&w=1024&h=1024&sm=c,Commercial and office space,,950 sqft,,Commercial (1),,,,,,,,,,,
https://www.centris.ca/en/commercial-units~for-rent~pont-viau-laval/13913255?view=Summary&uc=2,45.577241,-73.680721,https://mspublic.centris.ca/media.ashx?id=ADDD250D4957056DD3CC780D1E&t=pi&w=1024&h=1024&sm=c,Commercial only,1964,830 sqft,,Commercial (1),,,,,,,,,,,
https://www.centris.ca/en/land~for-sale~ville-marie-montreal/15938649?view=Summary,45.495975,-73.570748,https://mspublic.centris.ca/media.ashx?id=ADDD250D48FD919DD622CEFD1E&t=pi&w=1024&h=1024&sm=c,,,,,,,,,,,,Residential,,,,
https://www.centris.ca/en/commercial-units~for-rent~sorel-tracy/27857428?view=Summary&uc=2,46.039883,-73.129269,https://mspublic.centris.ca/media.ashx?id=ADDD250D49A27A1D18F141CD1C&t=pi&w=1024&h=1024&sm=c,Commercial and office space,1977,"2,100 sqft",,Commercial (1),,,,,,,,,,,
https://www.centris.ca/en/4plex~for-sale~ville-marie-montreal/11557096?view=Summary,45.53856803,-73.55991785,https://mspublic.centris.ca/media.ashx?id=ADDD250D453B9BCDD9DEB5BD1E&t=pi&w=1024&h=1024&sm=c,Residential only,1945,,,Residential (4),Semi-detached,"2,475 sqft","Driveway (1), Garage (1)","3 x 3 ½, 1 x 6 ½","6 rooms, 3 bedrooms, 1 bathroom/powder room","$43,800",,,Basement 6 feet or +,,
https://www.centris.ca/en/commercial-units~for-rent~le-vieux-longueuil-longueuil/23862727?view=Summary&uc=2,45.541121,-73.458067,https://mspublic.centris.ca/media.ashx?id=ADDD250D497DBC9D1A71370D1A&t=pi&w=1024&h=1024&sm=c,Offices only,2010,"2,083 sqft",,Office (1),,,,,,,,Office,,,
https://www.centris.ca/en/commercial-units~for-rent~saint-sauveur/20452589?view=Summary&uc=2,45.88955865,-74.14871814,https://mspublic.centris.ca/media.ashx?id=ADDD250D4327294D12B1C53D1F&t=pi&w=1024&h=1024&sm=c,Commercial and office space,2013,"1,223 sqft",,Commercial (1),,,,,,,,,,,
https://www.centris.ca/en/commercial-buildings~for-rent~lachute/14718278?view=Summary&uc=2,45.64299391,-74.36794811,https://mspublic.centris.ca/media.ashx?id=ADDD250D466898BDD5DFECAD1E&t=pi&w=1024&h=1024&sm=c,Commercial and residential,2014,"6,520 sqft","6,520 sqft",Commercial (1),,"13,050 sqft",,,,,,Other,,,
https://www.centris.ca/en/industrial-buildings~for-sale~rimouski/27019520?view=Summary&uc=2,48.46865601,-68.5101897,https://mspublic.centris.ca/media.ashx?id=ADDD250D453291ED1F7CFDDD1A&t=pi&w=1024&h=1024&sm=c,Commercial and industrial,1997,"20,527 sqft","20,532 sqft",Warehouse (1),,"47,441 sqft",,,,,,,,,
https://www.centris.ca/en/commercial-units~for-rent~vaudreuil-dorion/26586768?view=Summary&uc=2,45.38349129,-74.01070492,https://mspublic.centris.ca/media.ashx?id=ADDD250D4C530A1D1FE85FDD10&t=pi&w=1024&h=1024&sm=c,Offices only,1942,120 sqft,,Office (1),,"7,734 sqft",,,,,,,,,
https://www.centris.ca/en/commercial-units~for-rent~ahuntsic-cartierville-montreal/16415555?view=Summary&uc=2,45.572918,-73.649716,https://mspublic.centris.ca/media.ashx?id=ADDD250D2D29E60DD6809C2D12&t=pi&w=1024&h=1024&sm=c,Offices only,2016,"1,350 sqft","1,350 sqft",Office (1),,,,,,,,,,,
https://www.centris.ca/en/lots~for-sale~ville-marie-montreal/12885164?view=Summary,45.51452604,-73.56429208,https://mspublic.centris.ca/media.ashx?id=ADDD250D4B64390DD7CF787D1D&t=pi&w=1024&h=1024&sm=c,,,,,,,"28,403 sqft",,,,,"Commercial, Residential",,,,
https://www.centris.ca/en/commercial-units~for-rent~trois-rivieres/8725739?view=Summary&uc=2,46.34992,-72.549594,https://mspublic.centris.ca/media.ashx?id=ADDD250D1D8B4A4DDBE4C59D1B&t=pi&w=1024&h=1024&sm=c,Commercial and office space,Unknown age,,"4,088 sqft",,,"9,030 sqft",,,,,,,,,
https://www.centris.ca/en/multi-family-properties~for-sale~ville-marie-montreal/14713022?view=Summary,45.532207,-73.551122,https://mspublic.centris.ca/media.ashx?id=ADDD250D2D34051DD5DBD95D1A&t=pi&w=1024&h=1024&sm=c,Residential only,1885,,,Residential (9),,"3,520 sqft",,"3 x 1 ½, 6 x 3 ½","3 rooms, 1 bedroom, 1 bathroom/powder room","$55,560",,,,,
https://www.centris.ca/en/industrial-units~for-sale~saint-bruno-de-montarville/12502532?view=Summary&uc=2,45.53022247,-73.36481094,https://mspublic.centris.ca/media.ashx?id=ADDD250D4B1C8EEDD957ADCD1C&t=pi&w=1024&h=1024&sm=c,Industrial only,"To be built, New","250,000 sqft","205,100 sqft",Industrial (1),,"492,776 sqft",,,,,,,,,
https://www.centris.ca/en/lots~for-rent~vaudreuil-dorion/19935749?view=Summary&uc=2,45.37399407,-74.04982043,https://mspublic.centris.ca/media.ashx?id=ADDD250D43652BCD12D24DED1B&t=pi&w=1024&h=1024&sm=c,,,,,,,"129,762 sqft",,,,,"Commercial, Industrial",,,,
https://www.centris.ca/en/commercial-buildings~for-sale~ville-marie-montreal/27017280?view=Summary,45.492895,-73.578032,https://mspublic.centris.ca/media.ashx?id=ADDD250D48C59ACD1F7CDCDD12&t=pi&w=1024&h=1024&sm=c,Commercial and residential,1875,"2,045 sqft",,Office (1),,"2,600 sqft",,,,,,,,,
https://www.centris.ca/en/4plex~for-sale~ville-marie-montreal/12373261?view=Summary,45.50931686,-73.55156779,https://mspublic.centris.ca/media.ashx?id=ADDD250D470354ADD9773D3D10&t=pi&w=1024&h=1024&sm=c,Residential and commercial,"1870, Century","From 1,312 sqft to 6,731 sqft",,"Residential (1), Commercial (3)",Attached,"6,631 sqft","Carport (4), Driveway (1)",,"14 rooms, 6 bedrooms, 3 bathrooms/powder rooms","$329,964",,,,,1 x Other
https://www.centris.ca/en/commercial-units~for-rent~verdun-ile-des-soeurs-montreal/10376228?view=Summary&uc=2,45.46780577,-73.54367438,https://mspublic.centris.ca/media.ashx?id=ADDD250D45B8503DDF5EC4CD1E&t=pi&w=1024&h=1024&sm=c,Commercial and office space,Unknown age,150 sqft,,Office (1),,,,,,,,Office,,,
https://www.centris.ca/en/commercial-units~for-rent~nicolet/28836987?view=Summary&uc=2,46.240262,-72.594565,https://mspublic.centris.ca/media.ashx?id=ADDD250D4F9236ED19BDC09D1F&t=pi&w=1024&h=1024&sm=c,Offices only,,"2,600 sqft",,Office (1),,,,,,,,Health centre,,,
https://www.centris.ca/en/commercial-units~for-rent~shawinigan/21190525?view=Summary&uc=2,46.52059101,-72.74585171,https://mspublic.centris.ca/media.ashx?id=ADDD250D4603DB5D1C2E003D11&t=pi&w=1024&h=1024&sm=c,Commercial and office space,1980,"3,541 sqft",,Commercial (1),,,,,,,,Fitness centre,,,
